"DayNight","PSUM","RH","RSWR","TA","TSG","VW","timestamp"
"Day",0,0.75603125,98.90625,14.6721875,17.9221875,4.05,2024-08-21 05:00:00
"Night",0,0.9308,0,9.67000000000002,14.72,1.12666666666667,2024-08-21 21:00:00
"Day",0,0.70071875,101.09375,16.7521875,18.0278125,2.246875,2024-08-22 05:00:00
"Night",0,0.934133333333333,0,11.4426666666667,15.012,0.686666666666667,2024-08-22 21:00:00
"Day",0,0.6511875,114,18.3328125,18.1675,2.746875,2024-08-23 05:00:00
"Night",0,0.890066666666667,0,12.676,15.5186666666667,0.933333333333333,2024-08-23 21:00:00
"Day",0,0.536625,111.28125,20.020625,18.5909375,1.340625,2024-08-24 05:00:00
"Night",0,0.738666666666667,0,13.5626666666667,15.6293333333333,0.733333333333333,2024-08-24 21:00:00
"Day",0,0.94546875,46.40625,11.89,15.51375,4.309375,2024-08-25 05:00:00
"Night",0,0.987533333333333,0,10.4433333333334,14.5586666666667,1.28666666666667,2024-08-25 21:00:00
"Day",0.075,0.93753125,70.4375,11.879375,15.9046875,3.71875,2024-08-26 05:00:00
"Night",0,0.9792,0,10.9613333333334,14.756,1.36666666666667,2024-08-26 21:00:00
"Day",0.7125,0.675125,111.40625,16.2340625,16.9509375,2.071875,2024-08-27 05:00:00
"Night",0,0.9846,0,10.3646666666667,14.5946666666667,0.786666666666667,2024-08-27 21:00:00
"Day",0,0.68325,107.25,16.7015625,16.9453125,1.59375,2024-08-28 05:00:00
"Night",0,0.867533333333333,0,11.4646666666667,14.7986666666667,0.993333333333333,2024-08-28 21:00:00
"Day",0,0.60165625,110.90625,18.3959375,17.249375,1.95625,2024-08-29 05:00:00
"Night",0,0.805133333333333,0,13.146,15.448,0.866666666666667,2024-08-29 21:00:00
"Day",0,0.548375,114.59375,19.6165625,17.709375,1.890625,2024-08-30 05:00:00
"Night",1.04,0.8262,0,15.3266666666667,16.3133333333334,1.01333333333333,2024-08-30 21:00:00
"Day",0.3,0.6939375,84.25,18.3540625,18.1053125,1.56875,2024-08-31 05:00:00
