Filename;Year;Month;Day;Hour;Minute;Second;Head_length;Abdomen_length;Insect_length_total;kingdom;phylum;class;order;family;score;highest_classification_rank;taxonomic_name_2;score_2;score_diff;path
20240709162400_crop_1.jpg;2024;7;9;16;24;0;0.44;3.52;3.96;Animalia;Arthropoda;Insecta;Hemiptera;Cydnidae;0.467347741;family;Curculionidae;0.117794991;0.349552751;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709162400_crop_1.jpg
20240709162415_crop_0.jpg;2024;7;9;16;24;15;0.55;4.18;4.73;Animalia;Arthropoda;Insecta;Diptera;Pipunculidae;0.691338301;family;Rutelidae;0.038991459;0.652346842;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709162415_crop_0.jpg
20240709162528_crop_0.jpg;2024;7;9;16;25;28;0.44;2.97;3.41;Animalia;Arthropoda;Insecta;Hemiptera;Cydnidae;0.270899802;family;Asilidae;0.186659694;0.084240109;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709162528_crop_0.jpg
20240709163105_crop_0.jpg;2024;7;9;16;31;5;0.44;1.76;2.20;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;0.369232297;family;Heteroceridae;0.063401155;0.305831142;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163105_crop_0.jpg
20240709163119_crop_0.jpg;2024;7;9;16;31;19;0.44;1.98;2.42;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;0.096483611;family;Cicadellidae;0.041816868;0.054666743;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163119_crop_0.jpg
20240709163137_crop_0.jpg;2024;7;9;16;31;37;0.33;2.31;2.64;Protozoa;Protozoa;Oligohymenophorea;Sessilida;Epistylidae;0.161680922;family;Chrysomelidae;0.064497359;0.097183563;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163137_crop_0.jpg
20240709163210_crop_0.jpg;2024;7;9;16;32;10;0.55;3.52;4.07;Animalia;Arthropoda;Insecta;Diptera;Stratiomyidae;0.389247268;family;Pipunculidae;0.214886174;0.174361095;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163210_crop_0.jpg
20240709163454_crop_0.jpg;2024;7;9;16;34;54;0.33;2.09;2.42;Animalia;Arthropoda;Insecta;Diptera;Culicidae;0.839689374;family;Aphididae;0.023821181;0.815868193;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163454_crop_0.jpg
20240709163512_crop_0.jpg;2024;7;9;16;35;12;0.55;3.30;3.85;Animalia;Arthropoda;Insecta;Diptera;Dolichopodidae;0.361584127;family;Stratiomyidae;0.153377756;0.20820637;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163512_crop_0.jpg
20240709163512_crop_1.jpg;2024;7;9;16;35;12;0.33;2.42;2.75;Animalia;Arthropoda;Insecta;Diptera;Culicidae;0.295625925;family;Ceratopogonidae;0.108097315;0.18752861;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163512_crop_1.jpg
20240709163647_crop_0.jpg;2024;7;9;16;36;47;0.88;3.96;4.84;Animalia;Arthropoda;Insecta;Diptera;Pipunculidae;0.253601074;family;Empididae;0.243934989;0.009666085;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709163647_crop_0.jpg
20240709165348_crop_0.jpg;2024;7;9;16;53;48;0.33;2.53;2.86;Animalia;Arthropoda;Insecta;Diptera;Drosophilidae;0.244048849;family;Cicadellidae;0.110628575;0.133420274;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709165348_crop_0.jpg
20240709165543_crop_0.jpg;2024;7;9;16;55;43;0.33;2.31;2.64;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;0.229073018;family;Diphyllobothriidae;0.130864486;0.098208532;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709165543_crop_0.jpg
20240709172842_crop_0.jpg;2024;7;9;17;28;42;0.66;4.29;4.95;Animalia;Arthropoda;Insecta;Diptera;Asilidae;0.219992042;family;Muscidae;0.056353152;0.16363889;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709172842_crop_0.jpg
20240709174955_crop_0.jpg;2024;7;9;17;49;55;0.77;6.37;7.14;Animalia;Arthropoda;Insecta;Diptera;Conopidae;0.354668707;family;Muscidae;0.171745718;0.182922989;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709174955_crop_0.jpg
20240709180336_crop_0.jpg;2024;7;9;18;3;36;0.99;8.68;9.67;Animalia;Arthropoda;Insecta;Coleoptera;Lycidae;0.222676948;family;Crambidae;0.067365959;0.155310988;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709180336_crop_0.jpg
20240709191437_crop_0.jpg;2024;7;9;19;14;37;0.99;7.25;8.24;Animalia;Arthropoda;Insecta;Diptera;Ephydridae;0.439440817;family;Dolichopodidae;0.201533809;0.237907007;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709191437_crop_0.jpg
20240709191506_crop_0.jpg;2024;7;9;19;15;6;1.54;6.92;8.46;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.807171404;family;Scathophagidae;0.032407034;0.77476437;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709191506_crop_0.jpg
20240709194954_crop_0.jpg;2024;7;9;19;49;54;0.77;4.62;5.38;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.299464673;family;Chloropidae;0.199299693;0.10016498;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709194954_crop_0.jpg
20240709195039_crop_0.jpg;2024;7;9;19;50;39;0.88;1.76;2.64;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.115329832;family;Syrphidae;0.090754293;0.024575539;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709195039_crop_0.jpg
20240709195304_crop_0.jpg;2024;7;9;19;53;4;1.10;3.30;4.40;Animalia;Arthropoda;Insecta;Diptera;Pipunculidae;0.804840326;family;Conopidae;0.058824066;0.74601626;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709195304_crop_0.jpg
20240709195344_crop_0.jpg;2024;7;9;19;53;44;0.44;2.86;3.30;Animalia;Arthropoda;Insecta;Diptera;Culicidae;0.132473469;family;Curculionidae;0.120837614;0.011635855;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709195344_crop_0.jpg
20240709204220_crop_0.jpg;2024;7;9;20;42;20;1.54;16.04;17.58;Animalia;Arthropoda;Insecta;Diptera;Muscidae;0.407912254;family;Cecidomyiidae;0.089378387;0.318533868;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709204220_crop_0.jpg
20240709204220_crop_1.jpg;2024;7;9;20;42;20;0.88;4.29;5.16;Animalia;Arthropoda;Insecta;Diptera;Conopidae;0.928819537;family;Syrphidae;0.027982239;0.900837298;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709204220_crop_1.jpg
20240709204956_crop_0.jpg;2024;7;9;20;49;56;0.55;9.56;10.11;Animalia;Arthropoda;Insecta;Lepidoptera;Arrhenophanidae;0.15462856;family;Caryophyllaceae;0.139373317;0.015255243;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709204956_crop_0.jpg
20240709204956_crop_1.jpg;2024;7;9;20;49;56;;;;Animalia;Arthropoda;Insecta;Diptera;Mycetophilidae;0.093919151;family;Mycosphaerellaceae;0.073362127;0.020557024;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709204956_crop_1.jpg
20240709205400_crop_0.jpg;2024;7;9;20;54;0;0.55;5.49;6.04;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;0.161124215;family;Neriidae;0.128772706;0.032351509;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709205400_crop_0.jpg
20240709205415_crop_1.jpg;2024;7;9;20;54;15;0.55;1.21;1.76;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;0.149919853;family;Butidae;0.10649509;0.043424763;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709205415_crop_1.jpg
20240709210923_crop_0.jpg;2024;7;9;21;9;23;0.44;1.65;2.09;Animalia;Arthropoda;Insecta;Diptera;Asilidae;0.093900643;family;Formicidae;0.091821805;0.002078839;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240709/cropped/20240709210923_crop_0.jpg
20240710073119_crop_0.jpg;2024;7;10;7;31;19;0.66;5.49;6.15;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;0.578263044;family;Chironomidae;0.150476113;0.427786931;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240710/cropped/20240710073119_crop_0.jpg
20240710074225_crop_0.jpg;2024;7;10;7;42;25;0.55;3.41;3.96;Animalia;Arthropoda;Insecta;Hemiptera;Miridae;0.283992946;family;Entomobryidae;0.104520582;0.179472364;/Users/rentaluser/Desktop/DIOPSIS-388/photos/20240710/cropped/20240710074225_crop_0.jpg
