"PSUM","RH","RSWR","TA","TSG","VW","timestamp"
0.296,0.806246666666667,70.22,14.6437333333334,15.911,2.22933333333333,"2024-07-23 00:00:00"
0.296,0.80348,70.2533333333333,14.6861333333334,15.8976,2.25066666666667,"2024-07-23 03:00:00"
0.296,0.799466666666667,72.2666666666667,14.8125333333334,15.9112,2.23933333333333,"2024-07-23 06:00:00"
0.296,0.793846666666667,74.5,14.9469333333334,15.9658,2.336,"2024-07-23 09:00:00"
0.296,0.794066666666667,76.12,14.951,16.0012666666667,2.428,"2024-07-23 12:00:00"
0.296,0.795213333333333,74.3333333333333,14.9296,15.9896666666667,2.498,"2024-07-23 15:00:00"
0.296,0.80572,67.9466666666667,14.7704,15.9325333333334,2.532,"2024-07-23 18:00:00"
0.296,0.814986666666667,67.2866666666667,14.6421333333334,15.8875333333334,2.554,"2024-07-23 21:00:00"
0.312,0.8204,67.2866666666667,14.6416666666667,15.8871333333334,2.56733333333333,"2024-07-24 00:00:00"
0.312,0.82524,67.3,14.6702,15.9141333333334,2.588,"2024-07-24 03:00:00"
0.312,0.827966666666667,68.2933333333333,14.7257333333334,15.9642,2.66933333333333,"2024-07-24 06:00:00"
0.312,0.828266666666667,73.16,14.7683333333334,16.0381333333334,2.77866666666667,"2024-07-24 09:00:00"
0.312,0.830853333333333,73.7666666666667,14.6455333333334,16.0862,2.83533333333333,"2024-07-24 12:00:00"
0.296,0.826793333333333,73.5266666666667,14.6188,16.0777333333334,2.85866666666667,"2024-07-24 15:00:00"
0.296,0.830193333333333,68.0333333333333,14.4558,16.0229333333334,2.84,"2024-07-24 18:00:00"
0.288,0.830326666666667,67.34,14.2867333333334,15.9561333333334,2.70666666666667,"2024-07-24 21:00:00"
0.032,0.8287,67.34,14.1478,15.9007333333334,2.664,"2024-07-25 00:00:00"
0.032,0.826493333333333,67.3666666666667,14.0050666666667,15.8314,2.65733333333333,"2024-07-25 03:00:00"
0.032,0.821286666666667,70.6333333333333,13.9801333333334,15.7764,2.63466666666667,"2024-07-25 06:00:00"
0.016,0.806193333333333,79.1933333333333,14.1412,15.7970666666667,2.70533333333333,"2024-07-25 09:00:00"
0.016,0.78558,86.4133333333333,14.3751333333334,15.8754,2.762,"2024-07-25 12:00:00"
0.016,0.77136,88.3466666666667,14.5270666666667,15.916,2.78666666666667,"2024-07-25 15:00:00"
0.016,0.77124,84.4133333333333,14.5108666666667,15.9002,2.79,"2024-07-25 18:00:00"
0.016,0.769186666666667,83.42,14.4472,15.8593333333334,2.664,"2024-07-25 21:00:00"
0.016,0.766533333333333,83.42,14.3400666666667,15.7977333333334,2.598,"2024-07-26 00:00:00"
0.016,0.763846666666667,83.4533333333333,14.2659333333334,15.7463333333334,2.59733333333333,"2024-07-26 03:00:00"
0.016,0.760393333333333,86.6,14.325,15.711,2.56,"2024-07-26 06:00:00"
0.016,0.74618,94.1333333333333,14.6418,15.7750666666667,2.60466666666667,"2024-07-26 09:00:00"
0.016,0.735606666666667,100.373333333333,14.9082666666667,15.8723333333334,2.65866666666667,"2024-07-26 12:00:00"
0.016,0.733966666666667,96.7333333333333,15.0435333333334,15.9214,2.66933333333333,"2024-07-26 15:00:00"
0.016,0.743346666666667,92.8933333333333,15.0408,15.9262666666667,2.66333333333333,"2024-07-26 18:00:00"
0.016,0.749826666666667,91.8666666666667,15.0090666666667,15.9255333333334,2.57333333333333,"2024-07-26 21:00:00"
0.016,0.752033333333333,91.8666666666667,14.9713333333334,15.9058,2.534,"2024-07-27 00:00:00"
0,0.752413333333333,91.9,14.9156666666667,15.8675333333334,2.51066666666667,"2024-07-27 03:00:00"
0,0.7473,94.7666666666667,14.9949333333334,15.8467333333334,2.48066666666667,"2024-07-27 06:00:00"
0,0.730226666666667,104.053333333333,15.4012,15.9316666666667,2.42266666666667,"2024-07-27 09:00:00"
0,0.717193333333333,104.493333333333,15.7598666666667,16.0450666666667,2.36533333333333,"2024-07-27 12:00:00"
0,0.705953333333333,99.4,16.128,16.106,2.20466666666667,"2024-07-27 15:00:00"
0,0.706793333333333,93.6466666666667,16.2863333333334,16.1274,2.12266666666667,"2024-07-27 18:00:00"
0,0.709106666666667,92.66,16.3604,16.1354,2.00666666666667,"2024-07-27 21:00:00"
0,0.708686666666667,92.66,16.4558666666667,16.1442666666667,1.95266666666667,"2024-07-28 00:00:00"
0,0.707753333333333,92.6866666666667,16.6279333333334,16.1798,1.934,"2024-07-28 03:00:00"
0.008,0.70452,94.8333333333333,16.9148,16.2572666666667,2.008,"2024-07-28 06:00:00"
0.008,0.702846666666667,100.013333333333,17.2334,16.4046666666667,2.16533333333333,"2024-07-28 09:00:00"
0.008,0.71308,99.2333333333333,17.2993333333334,16.5174,2.26533333333333,"2024-07-28 12:00:00"
0.008,0.728133333333333,95.8133333333333,17.2638666666667,16.5588,2.34066666666667,"2024-07-28 15:00:00"
0.008,0.746153333333333,88.8866666666667,17.1202,16.5542666666667,2.36266666666667,"2024-07-28 18:00:00"
0.008,0.756013333333333,88.0933333333333,16.9912666666667,16.5482666666667,2.232,"2024-07-28 21:00:00"
0.008,0.761706666666667,88.0933333333333,16.9379333333334,16.5435333333334,2.212,"2024-07-29 00:00:00"
0.008,0.765866666666667,88.12,16.9301333333334,16.55,2.20733333333333,"2024-07-29 03:00:00"
0.008,0.766293333333333,91.1133333333333,17.0416666666667,16.5814666666667,2.19266666666667,"2024-07-29 06:00:00"
0.008,0.756713333333333,96.84,17.3350666666667,16.7041333333334,2.306,"2024-07-29 09:00:00"
