"ISWR","P","RH","TA","VW","timestamp"
0,79156.139,0.954,9.39666666666668,0.333333333333333,"2024-07-23 00:00:00"
0,79118.6923333333,0.942,8.93333333333334,0.5,"2024-07-23 03:00:00"
112,79137.199,0.954666666666667,9.37000000000002,0.433333333333333,"2024-07-23 06:00:00"
309,79166.3656666667,0.918666666666667,11.0533333333333,0.533333333333333,"2024-07-23 09:00:00"
864.666666666667,79163.8656666667,0.733666666666667,13.9466666666667,1.23333333333333,"2024-07-23 12:00:00"
597.333333333333,79153.3706666667,0.642666666666667,14.5266666666667,2.6,"2024-07-23 15:00:00"
130,79170.699,0.774,12.6766666666667,2.46666666666667,"2024-07-23 18:00:00"
0,79155.2223333333,0.900666666666667,10.9966666666667,1.93333333333333,"2024-07-23 21:00:00"
0,79094.2073333333,0.950333333333333,10.07,1.13333333333333,"2024-07-24 00:00:00"
0,79010.3506666667,0.977333333333333,9.13333333333335,1.5,"2024-07-24 03:00:00"
61,78984.394,0.982666666666667,8.45333333333338,2.93333333333333,"2024-07-24 06:00:00"
369,79007.4056666667,0.929,9.4266666666667,2.26666666666667,"2024-07-24 09:00:00"
574,78972.1756666667,0.916666666666667,6.34666666666667,2.63333333333333,"2024-07-24 12:00:00"
383.666666666667,78938.5306666667,0.954333333333333,7.56000000000004,2.93333333333333,"2024-07-24 15:00:00"
89,78925.2456666667,1,3.87666666666668,2.7,"2024-07-24 18:00:00"
0,78946.8473333333,1,1.30666666666669,1.5,"2024-07-24 21:00:00"
0,78894.264,0.931333333333333,6.27333333333337,0.6,"2024-07-25 00:00:00"
0,78789.9573333333,0.828666666666667,7.31000000000002,1,"2024-07-25 03:00:00"
167.333333333333,78752.619,0.64,9.67000000000002,0.866666666666667,"2024-07-25 06:00:00"
723,78759.5306666667,0.619666666666667,13.32,0.866666666666667,"2024-07-25 09:00:00"
953,78736.1956666667,0.454,15.4566666666667,1.83333333333333,"2024-07-25 12:00:00"
646,78719.2606666667,0.667,11.56,1.83333333333333,"2024-07-25 15:00:00"
120,78724.7723333333,0.663333333333333,13.9966666666667,2.46666666666667,"2024-07-25 18:00:00"
0,78775.0956666667,0.715333333333333,12.15,0.833333333333333,"2024-07-25 21:00:00"
0,78758.8373333333,0.705,11.1166666666667,1.1,"2024-07-26 00:00:00"
0,78703.039,0.781333333333333,11.2266666666667,1.3,"2024-07-26 03:00:00"
163.333333333333,78729.299,0.767666666666667,12.55,0.966666666666667,"2024-07-26 06:00:00"
586.333333333333,78774.149,0.645333333333333,16.0766666666667,0.833333333333333,"2024-07-26 09:00:00"
924,78822.464,0.631333333333333,17.52,1.46666666666667,"2024-07-26 12:00:00"
509.666666666667,78838.5073333333,0.685666666666667,17.2233333333334,2.6,"2024-07-26 15:00:00"
155.333333333333,78882.1756666667,0.785333333333333,15.95,1.86666666666667,"2024-07-26 18:00:00"
0,78957.1173333333,0.910333333333333,13.61,1,"2024-07-26 21:00:00"
0,78965.3173333333,0.849,12.7066666666667,1.6,"2024-07-27 00:00:00"
0,78963.209,0.814,12.0133333333334,1.96666666666667,"2024-07-27 03:00:00"
159,79019.4856666667,0.763666666666667,13.59,1.2,"2024-07-27 06:00:00"
436.666666666667,79065.8456666667,0.643,17.1533333333334,1.53333333333333,"2024-07-27 09:00:00"
559.666666666667,79111.584,0.611,18.1233333333334,0.8,"2024-07-27 12:00:00"
580.333333333333,79118.3106666667,0.515333333333333,19.7566666666667,1.73333333333333,"2024-07-27 15:00:00"
102.333333333333,79163.8923333333,0.671,17.1666666666667,1.36666666666667,"2024-07-27 18:00:00"
0,79249.9323333333,0.765333333333333,14.8466666666667,1.66666666666667,"2024-07-27 21:00:00"
0,79266.659,0.772333333333333,13.4766666666667,0.9,"2024-07-28 00:00:00"
0,79305.8723333333,0.817333333333333,12.7966666666667,0.833333333333333,"2024-07-28 03:00:00"
99,79402.0823333333,0.855333333333333,12.97,1.13333333333333,"2024-07-28 06:00:00"
405.666666666667,79483.514,0.853,14.8033333333333,1.8,"2024-07-28 09:00:00"
595,79525.1656666667,0.830333333333333,15.28,3.03333333333333,"2024-07-28 12:00:00"
573.333333333333,79511.869,0.795333333333333,15.75,3.2,"2024-07-28 15:00:00"
140.333333333333,79478.219,0.851333333333333,14.0233333333333,3.3,"2024-07-28 18:00:00"
0,79522.439,0.893,12.6333333333334,0.966666666666667,"2024-07-28 21:00:00"
0,79482.3656666667,0.901,11.7466666666667,0.5,"2024-07-29 00:00:00"
0,79434.049,0.762,12.49,0.9,"2024-07-29 03:00:00"
157,79448.4606666667,0.738666666666667,13.5866666666667,0.466666666666667,"2024-07-29 06:00:00"
651,79458.8823333333,0.662666666666667,16.2366666666667,1.13333333333333,"2024-07-29 09:00:00"
619,79465.0756666667,0.597333333333333,17.05,2.63333333333333,"2024-07-29 12:00:00"
642.333333333333,79453.1623333333,0.583333333333333,17.42,2.36666666666667,"2024-07-29 15:00:00"
156.333333333333,79431.204,0.683333333333333,15.81,2.06666666666667,"2024-07-29 18:00:00"
0,79446.8506666667,0.765,13.6666666666667,0.566666666666667,"2024-07-29 21:00:00"
0,79412.5556666667,0.711666666666667,12.9333333333333,1.36666666666667,"2024-07-30 00:00:00"
0,79376.2956666667,0.581333333333333,13.3833333333333,1.33333333333333,"2024-07-30 03:00:00"
156,79383.6973333333,0.506666666666667,14.99,0.866666666666667,"2024-07-30 06:00:00"
707.333333333333,79405.019,0.426333333333333,18.39,1.4,"2024-07-30 09:00:00"
924.333333333333,79411.3806666667,0.398,20.04,1.33333333333333,"2024-07-30 12:00:00"
