"ISWR","P","RH","TA","VW","timestamp"
0,74118.094,0.976333333333333,6.60666666666668,0.4,"2024-07-23 00:00:00"
0,74080.6473333333,0.973666666666667,6.28333333333336,0.533333333333333,"2024-07-23 03:00:00"
112,74099.154,0.990666666666667,6.42666666666668,0.433333333333333,"2024-07-23 06:00:00"
319.333333333333,74128.3206666667,0.984,7.6266666666667,0.5,"2024-07-23 09:00:00"
903.333333333333,74125.8206666667,0.840333333333333,10.02,1.53333333333333,"2024-07-23 12:00:00"
664.666666666667,74115.3256666667,0.745,10.6766666666667,2.26666666666667,"2024-07-23 15:00:00"
133,74132.654,0.831,9.0466666666667,1.73333333333333,"2024-07-23 18:00:00"
0,74117.1773333333,0.952666666666667,7.58333333333337,1.03333333333333,"2024-07-23 21:00:00"
0,74056.1623333333,0.985666666666667,6.86000000000003,1.5,"2024-07-24 00:00:00"
0,73972.3056666667,0.994333333333333,6.09000000000001,1.7,"2024-07-24 03:00:00"
63.3333333333333,73946.349,1,5.56333333333337,1.9,"2024-07-24 06:00:00"
383,73969.3606666667,0.982333333333333,6.06000000000002,0.733333333333333,"2024-07-24 09:00:00"
673.666666666667,73934.1306666667,0.96,4.36333333333336,1.63333333333333,"2024-07-24 12:00:00"
407,73900.4856666667,1,5.22666666666669,2.53333333333333,"2024-07-24 15:00:00"
87,73887.2006666667,1,2.62666666666668,2.06666666666667,"2024-07-24 18:00:00"
0,73908.8023333333,1,0.613333333333363,0.933333333333333,"2024-07-24 21:00:00"
0,73856.219,0.94,4.0266666666667,0.6,"2024-07-25 00:00:00"
0,73751.9123333333,0.568,6.32666666666669,0.966666666666667,"2024-07-25 03:00:00"
174,73714.574,0.537,7.92666666666668,0.933333333333333,"2024-07-25 06:00:00"
743.333333333333,73721.4856666667,0.559333333333333,9.99000000000001,0.533333333333333,"2024-07-25 09:00:00"
975.333333333333,73698.1506666667,0.530666666666667,11.69,1.56666666666667,"2024-07-25 12:00:00"
662.666666666667,73681.2156666667,0.695333333333333,9.42,1.76666666666667,"2024-07-25 15:00:00"
120,73686.7273333333,0.66,11.2133333333333,0.966666666666667,"2024-07-25 18:00:00"
0,73737.0506666667,0.748666666666667,9.55333333333336,0.766666666666667,"2024-07-25 21:00:00"
0,73720.7923333333,0.775,9.2366666666667,0.7,"2024-07-26 00:00:00"
0,73664.994,0.855,8.80000000000003,1.16666666666667,"2024-07-26 03:00:00"
168.666666666667,73691.254,0.824333333333333,9.73000000000004,1.13333333333333,"2024-07-26 06:00:00"
583,73736.104,0.759,11.6466666666667,1.23333333333333,"2024-07-26 09:00:00"
927.666666666667,73784.419,0.680333333333333,13.7733333333334,1.16666666666667,"2024-07-26 12:00:00"
578.333333333333,73800.4623333333,0.729,14.0233333333334,2.06666666666667,"2024-07-26 15:00:00"
155.333333333333,73844.1306666667,0.833333333333333,12.8066666666667,1.2,"2024-07-26 18:00:00"
0,73919.0723333333,0.949333333333333,10.9166666666667,1.23333333333333,"2024-07-26 21:00:00"
0,73927.2723333333,0.88,10.17,1.9,"2024-07-27 00:00:00"
0,73925.164,0.828666666666667,9.78000000000003,2.3,"2024-07-27 03:00:00"
164,73981.4406666667,0.798333333333333,10.8433333333334,1.4,"2024-07-27 06:00:00"
481,74027.8006666667,0.764666666666667,12.5466666666667,1.63333333333333,"2024-07-27 09:00:00"
595.666666666667,74073.539,0.734333333333333,13.6333333333334,2.1,"2024-07-27 12:00:00"
580.333333333333,74080.2656666667,0.647666666666667,15.0433333333334,2.26666666666667,"2024-07-27 15:00:00"
104,74125.8473333333,0.730666666666667,13.5066666666667,1.76666666666667,"2024-07-27 18:00:00"
0,74211.8873333333,0.793,11.9766666666667,2.16666666666667,"2024-07-27 21:00:00"
0,74228.614,0.762333333333333,11.51,1.83333333333333,"2024-07-28 00:00:00"
0,74267.8273333333,0.805,10.8966666666667,1.5,"2024-07-28 03:00:00"
97.6666666666667,74364.0373333333,0.842666666666667,10.82,1.13333333333333,"2024-07-28 06:00:00"
468.666666666667,74445.469,0.887333333333333,11.4666666666667,0.766666666666667,"2024-07-28 09:00:00"
665.666666666667,74487.1206666667,0.850333333333333,12.4566666666667,1.63333333333333,"2024-07-28 12:00:00"
599.666666666667,74473.824,0.802333333333333,13.1166666666667,1.86666666666667,"2024-07-28 15:00:00"
148,74440.174,0.881333333333333,11.5366666666667,1.4,"2024-07-28 18:00:00"
0,74484.394,0.918666666666667,10.14,0.966666666666667,"2024-07-28 21:00:00"
0,74444.3206666667,0.866666666666667,10.08,0.533333333333333,"2024-07-29 00:00:00"
0,74396.004,0.774,10.1633333333334,1.2,"2024-07-29 03:00:00"
162,74410.4156666667,0.750666666666667,10.9266666666667,0.933333333333333,"2024-07-29 06:00:00"
684.666666666667,74420.8373333333,0.687666666666667,12.3133333333334,1.23333333333333,"2024-07-29 09:00:00"
662,74427.0306666667,0.711333333333333,12.8666666666667,2.1,"2024-07-29 12:00:00"
656,74415.1173333333,0.726,12.91,2.36666666666667,"2024-07-29 15:00:00"
158,74393.159,0.746666666666667,12.41,1.46666666666667,"2024-07-29 18:00:00"
0,74408.8056666667,0.777,10.9,0.833333333333333,"2024-07-29 21:00:00"
0,74374.5106666667,0.705,10.8066666666667,1.36666666666667,"2024-07-30 00:00:00"
0,74338.2506666667,0.585666666666667,10.6,2.3,"2024-07-30 03:00:00"
161.333333333333,74345.6523333333,0.504,12.0466666666667,1.33333333333333,"2024-07-30 06:00:00"
722.666666666667,74366.974,0.485,14.36,1.6,"2024-07-30 09:00:00"
