"ISWR","P","RH","TA","VW","timestamp"
0,85975.222,0.936666666666667,13.14,0.766666666666667,"2024-07-23 00:00:00"
0,85937.7753333333,0.930666666666667,12.43,1.76666666666667,"2024-07-23 03:00:00"
104.333333333333,85956.282,0.935666666666667,13.09,0.766666666666667,"2024-07-23 06:00:00"
305.666666666667,85985.4486666667,0.858,15.6166666666667,2,"2024-07-23 09:00:00"
866,85982.9486666667,0.630666666666667,18.8666666666667,4.66666666666667,"2024-07-23 12:00:00"
638,85972.4536666667,0.477,20.48,2.16666666666667,"2024-07-23 15:00:00"
122.666666666667,85989.782,0.671,17.9833333333334,2.86666666666667,"2024-07-23 18:00:00"
0,85974.3053333333,0.829,15.68,2.53333333333333,"2024-07-23 21:00:00"
0,85913.2903333333,0.92,14.3733333333334,1.16666666666667,"2024-07-24 00:00:00"
0,85829.4336666667,0.965666666666667,13.24,1.36666666666667,"2024-07-24 03:00:00"
56.6666666666667,85803.477,0.961,12.5733333333334,2.23333333333333,"2024-07-24 06:00:00"
357.666666666667,85826.4886666667,0.870333333333333,14.4166666666667,3.13333333333333,"2024-07-24 09:00:00"
642.333333333333,85791.2586666667,0.880666666666667,12.56,4.4,"2024-07-24 12:00:00"
389.666666666667,85757.6136666667,0.803,13.6966666666667,3.03333333333333,"2024-07-24 15:00:00"
81,85744.3286666667,0.977666666666667,9.76000000000003,3.16666666666667,"2024-07-24 18:00:00"
0,85765.9303333333,1,6.35,1.76666666666667,"2024-07-24 21:00:00"
0,85713.347,0.909666666666667,10.2566666666667,1.13333333333333,"2024-07-25 00:00:00"
0,85609.0403333333,0.946333333333333,8.87666666666668,1.13333333333333,"2024-07-25 03:00:00"
159.666666666667,85571.702,0.850333333333333,11.8566666666667,1.56666666666667,"2024-07-25 06:00:00"
699,85578.6136666667,0.664,17.9633333333334,2.8,"2024-07-25 09:00:00"
935.333333333333,85555.2786666667,0.368666666666667,20.08,4.5,"2024-07-25 12:00:00"
635.333333333333,85538.3436666667,0.512333333333333,16.76,4.56666666666667,"2024-07-25 15:00:00"
109,85543.8553333333,0.640333333333333,18.04,5,"2024-07-25 18:00:00"
0,85594.1786666667,0.676,15.74,1.66666666666667,"2024-07-25 21:00:00"
0,85577.9203333333,0.629666666666667,13.72,1.53333333333333,"2024-07-26 00:00:00"
0,85522.122,0.661666666666667,15.08,1.5,"2024-07-26 03:00:00"
156.333333333333,85548.382,0.679,16.74,0.766666666666667,"2024-07-26 06:00:00"
549.333333333333,85593.232,0.518333333333333,22.0666666666667,1.33333333333333,"2024-07-26 09:00:00"
882.666666666667,85641.547,0.553,22.27,3.83333333333333,"2024-07-26 12:00:00"
548.666666666667,85657.5903333333,0.582,22.4233333333334,3.73333333333333,"2024-07-26 15:00:00"
142.666666666667,85701.2586666667,0.724666666666667,20.1133333333334,4.33333333333333,"2024-07-26 18:00:00"
0,85776.2003333333,0.858666666666667,17.2633333333333,1.76666666666667,"2024-07-26 21:00:00"
0,85784.4003333333,0.833666666666667,16.15,0.633333333333333,"2024-07-27 00:00:00"
0,85782.292,0.804666666666667,15.14,0.633333333333333,"2024-07-27 03:00:00"
152.666666666667,85838.5686666667,0.706333333333333,17.44,0.833333333333333,"2024-07-27 06:00:00"
461,85884.9286666667,0.506,23.4566666666667,1.03333333333333,"2024-07-27 09:00:00"
566,85930.667,0.479333333333333,24.16,2.46666666666667,"2024-07-27 12:00:00"
547.333333333333,85937.3936666667,0.384666666666667,25.8033333333334,1.46666666666667,"2024-07-27 15:00:00"
96.6666666666667,85982.9753333333,0.579333333333333,22.0366666666667,3.66666666666667,"2024-07-27 18:00:00"
0,86069.0153333333,0.683,18.99,1.36666666666667,"2024-07-27 21:00:00"
0,86085.742,0.751666666666667,16.4966666666667,1.26666666666667,"2024-07-28 00:00:00"
0,86124.9553333333,0.784,15.8666666666667,1.23333333333333,"2024-07-28 03:00:00"
89.3333333333333,86221.1653333333,0.836,16.3566666666667,2.36666666666667,"2024-07-28 06:00:00"
445.333333333333,86302.597,0.777666666666667,19.8766666666667,4.43333333333333,"2024-07-28 09:00:00"
642,86344.2486666667,0.770333333333333,20.02,6,"2024-07-28 12:00:00"
571.666666666667,86330.952,0.732,20.1533333333334,5.1,"2024-07-28 15:00:00"
133.333333333333,86297.302,0.798333333333333,18.1,5.33333333333333,"2024-07-28 18:00:00"
0,86341.522,0.855666666666667,16.14,1.56666666666667,"2024-07-28 21:00:00"
0,86301.4486666667,0.894333333333333,14.4966666666667,1,"2024-07-29 00:00:00"
0,86253.132,0.700666666666667,16.5333333333333,1.23333333333333,"2024-07-29 03:00:00"
149.666666666667,86267.5436666667,0.7,17.9166666666667,1.06666666666667,"2024-07-29 06:00:00"
649,86277.9653333333,0.591666666666667,21.85,3.36666666666667,"2024-07-29 09:00:00"
629.333333333333,86284.1586666667,0.458,23.1366666666667,2.43333333333333,"2024-07-29 12:00:00"
628.666666666667,86272.2453333333,0.439333333333333,23.4266666666667,2.3,"2024-07-29 15:00:00"
145,86250.287,0.566,20.8466666666667,1.73333333333333,"2024-07-29 18:00:00"
0,86265.9336666667,0.730333333333333,17.39,1.06666666666667,"2024-07-29 21:00:00"
0,86231.6386666667,0.722,15.73,0.9,"2024-07-30 00:00:00"
0,86195.3786666667,0.570333333333333,17.5866666666667,3.13333333333333,"2024-07-30 03:00:00"
149,86202.7803333333,0.489,19.5366666666667,0.6,"2024-07-30 06:00:00"
686.666666666667,86224.102,0.377333333333333,23.6766666666667,1.7,"2024-07-30 09:00:00"
