"PSUM","RH","RSWR","TA","TSG","VW","timestamp"
0,0.985833333333333,0,7.32000000000004,6.66666666666669,0.516666666666667,"2024-07-23 00:00:00"
0,0.989166666666667,0.333333333333333,6.90500000000001,5.75833333333336,0.516666666666667,"2024-07-23 03:00:00"
0,0.976666666666667,17.5,7.79166666666669,9.61500000000003,0.983333333333333,"2024-07-23 06:00:00"
0,0.9645,45.6666666666667,9.01500000000003,15.9616666666667,0.533333333333333,"2024-07-23 09:00:00"
0,0.783666666666667,121.333333333333,12.215,29.1983333333334,1.1,"2024-07-23 12:00:00"
0,0.834,76.3333333333333,10.89,21.1133333333334,2.88333333333333,"2024-07-23 15:00:00"
0,0.871333333333333,12.8333333333333,9.75333333333337,13.435,2.3,"2024-07-23 18:00:00"
0,0.953833333333333,0,8.57666666666668,9.66333333333336,1.71666666666667,"2024-07-23 21:00:00"
1,0.979,0,7.85166666666669,8.74666666666669,0.883333333333333,"2024-07-24 00:00:00"
0.666666666666667,0.995166666666667,0.166666666666667,6.90333333333335,7.89333333333335,1.81666666666667,"2024-07-24 03:00:00"
1.06666666666667,1,13,6.05166666666669,8.02000000000003,3.9,"2024-07-24 06:00:00"
0.0666666666666667,0.965,54.5,7.05166666666669,14.3966666666667,1.66666666666667,"2024-07-24 09:00:00"
0,0.905166666666667,52.1666666666667,8.66333333333335,17.7216666666667,1.83333333333333,"2024-07-24 12:00:00"
0,0.898833333333333,71,8.54000000000002,17.5266666666667,3.76666666666667,"2024-07-24 15:00:00"
0,0.927,14,7.39333333333336,10.75,3.25,"2024-07-24 18:00:00"
0,0.897,0,6.4266666666667,5.71000000000002,1.23333333333333,"2024-07-24 21:00:00"
0,0.958,0,5.30833333333336,4.1716666666667,0.383333333333333,"2024-07-25 00:00:00"
0,0.749333333333333,0.333333333333333,6.20000000000003,3.62833333333337,0.466666666666667,"2024-07-25 03:00:00"
0,0.546333333333333,42.5,9.48333333333335,10.6933333333334,0.5,"2024-07-25 06:00:00"
0,0.603166666666667,106.666666666667,11.4033333333333,22.33,1.33333333333333,"2024-07-25 09:00:00"
0,0.516166666666667,120.5,13.0233333333333,29.3516666666667,0.933333333333333,"2024-07-25 12:00:00"
0,0.6135,83.6666666666667,13.6616666666667,25.4366666666667,1,"2024-07-25 15:00:00"
0,0.680333333333333,11.6666666666667,12.4533333333334,14.83,1.38333333333333,"2024-07-25 18:00:00"
0,0.789333333333333,0,10.075,8.97000000000002,0.85,"2024-07-25 21:00:00"
0,0.774666666666667,0,9.75333333333336,7.33500000000003,0.183333333333333,"2024-07-26 00:00:00"
0,0.885333333333333,0.333333333333333,9.4566666666667,6.33333333333334,0.333333333333333,"2024-07-26 03:00:00"
0,0.814666666666667,46.1666666666667,11.8033333333334,14.34,0.333333333333333,"2024-07-26 06:00:00"
0,0.762833333333333,99.8333333333333,13.3416666666667,24.4683333333334,0.9,"2024-07-26 09:00:00"
0,0.707,126,15.2316666666667,32.1466666666667,1.1,"2024-07-26 12:00:00"
0,0.798,58.1666666666667,14.395,23.7933333333334,2.16666666666667,"2024-07-26 15:00:00"
0,0.871666666666667,15.5,13.72,17.1883333333334,0.433333333333333,"2024-07-26 18:00:00"
0,0.9735,0,11.6233333333334,12.0216666666667,0.466666666666667,"2024-07-26 21:00:00"
0,0.875333333333333,0,11.0883333333333,9.26833333333335,1.2,"2024-07-27 00:00:00"
0,0.841833333333333,0.333333333333333,10.6116666666667,7.97666666666669,1.61666666666667,"2024-07-27 03:00:00"
0,0.810833333333333,38.5,12.4033333333333,14.8866666666667,0.966666666666667,"2024-07-27 06:00:00"
0,0.784833333333333,58,13.9133333333333,20.9283333333334,1.26666666666667,"2024-07-27 09:00:00"
0,0.758666666666667,70.8333333333333,14.9333333333334,24.2116666666667,0.966666666666667,"2024-07-27 12:00:00"
0,0.668,82.3333333333333,16.9366666666667,27.385,0.783333333333333,"2024-07-27 15:00:00"
0,0.795833333333333,8.33333333333333,14.32,16.6933333333334,0.333333333333333,"2024-07-27 18:00:00"
0.0666666666666667,0.879833333333333,0,12.38,11.7383333333334,1.31666666666667,"2024-07-27 21:00:00"
0,0.836,0,11.8266666666667,9.58333333333334,0.7,"2024-07-28 00:00:00"
0,0.888333333333333,0.333333333333333,11.0616666666667,9.57333333333335,0.483333333333333,"2024-07-28 03:00:00"
0.0666666666666667,0.8865,23,11.5983333333334,13.5183333333334,0.616666666666667,"2024-07-28 06:00:00"
0,0.895166666666667,66.5,12.6333333333333,21.7866666666667,0.866666666666667,"2024-07-28 09:00:00"
0,0.8495,78.6666666666667,13.2916666666667,25.4216666666667,1.86666666666667,"2024-07-28 12:00:00"
0,0.854,72.5,13.2183333333334,24.1633333333334,2.51666666666667,"2024-07-28 15:00:00"
0,0.896166666666667,19.3333333333333,11.9233333333333,16.025,2.48333333333333,"2024-07-28 18:00:00"
0,0.95,0,10.6816666666667,9.92166666666668,1.06666666666667,"2024-07-28 21:00:00"
0,0.959833333333333,0,10.005,7.81333333333336,0.25,"2024-07-29 00:00:00"
0,0.8295,0.333333333333333,10.6783333333334,6.68000000000003,0.6,"2024-07-29 03:00:00"
0,0.743,51.6666666666667,13.1066666666667,15.6933333333334,0.483333333333333,"2024-07-29 06:00:00"
0,0.7425,79.5,13.47,24.2083333333334,0.783333333333333,"2024-07-29 09:00:00"
0,0.7595,79.5,13.565,24.5366666666667,2.81666666666667,"2024-07-29 12:00:00"
0,0.741833333333333,93.6666666666667,14.1383333333334,27.765,3.26666666666667,"2024-07-29 15:00:00"
