filename,camera,precision,recall,F1_score,TP,FP,FN
20240727125900.jpg,DIOPSIS-388,0.5,0.5,0.5,1,1,1
20240824150542.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240719054015.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240808140941.jpg,DIOPSIS-388,1.0,1.0,1.0,1,0,0
20240724095828.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240830230847.jpg,DIOPSIS-385,0.0,0.0,0.0,0,2,2
20240820224854.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240909221414.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240830214919.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240722125742.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240813165849.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,1
20240906213755.jpg,DIOPSIS-389,0.0,0.0,0.0,0,1,1
20240818182703.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240813091635.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240808094854.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,0
20240823144547.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240712065832.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240825232711.jpg,DIOPSIS-388,0.0,0.0,0.0,0,2,5
20240908214916.jpg,DIOPSIS-387,0.0,0.0,0.0,0,1,1
20240709003138.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240722104555.jpg,DIOPSIS-389,0.0,0.0,0.0,0,1,3
20240818125852.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240729181740.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240830074956.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240722203323.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240830231947.jpg,DIOPSIS-391,0.0,0.0,0.0,0,7,8
20240811111528.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240821221013.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240820215902.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240905112708.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240726184155.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240718120753.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240803115747.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240806234143.jpg,DIOPSIS-388,0.0,0.0,0.0,0,1,4
20240711121821.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240828220243.jpg,DIOPSIS-421,0.0,0.0,0.0,0,1,5
20240731140301.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,0
20240824114544.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,0
20240718211108.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240729110354.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240825145359.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240722082619.jpg,DIOPSIS-387,1.0,1.0,1.0,1,0,0
20240831135345.jpg,DIOPSIS-388,0.0,0.0,0.0,0,2,2
20240907130247.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240716164734.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240826091914.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240908155637.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,1
20240813074747.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240729181729.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240813104725.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240820154420.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,1
20240725154039.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240712101818.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240830233222.jpg,DIOPSIS-387,1.0,1.0,1.0,1,0,0
20240812224302.jpg,DIOPSIS-391,0.6,0.3333333333333333,0.42857142857142855,3,2,6
20240816215435.jpg,DIOPSIS-389,0.3333333333333333,0.25,0.28571428571428575,1,2,3
20240808085349.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240726080801.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240825184217.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240724194139.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240912134528.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240827084807.jpg,DIOPSIS-388,1.0,1.0,1.0,1,0,0
20240826213841.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240719180428.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240806111444.jpg,DIOPSIS-387,0.0,0.0,0.0,0,1,1
20240922163713.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240902195438.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240917095954.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240910111929.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240825073534.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240909185009.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240811175020.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,1
20240727181928.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240806234958.jpg,DIOPSIS-388,0.5,0.5,0.5,1,1,1
20240812113731.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240831235225.jpg,DIOPSIS-421,1.0,0.16666666666666666,0.2857142857142857,1,0,5
20240808091043.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,2
20240727182446.jpg,DIOPSIS-388,0.0,0.0,0.0,0,1,1
20240827224227.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240802161807.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,1
20240817225047.jpg,DIOPSIS-387,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
20240803133000.jpg,DIOPSIS-384,0.0,0.0,0.0,0,2,3
20240813175316.jpg,DIOPSIS-384,0.0,0.0,0.0,0,2,2
20240820230540.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240815123112.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240730172447.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240901102711.jpg,DIOPSIS-388,1.0,1.0,1.0,1,0,0
20240816235634.jpg,DIOPSIS-389,0.3333333333333333,0.25,0.28571428571428575,1,2,3
20240716140318.jpg,DIOPSIS-385,0.5,0.5,0.5,1,1,1
20240812122124.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,1
20240903233449.jpg,DIOPSIS-387,1.0,1.0,1.0,2,0,0
20240903113347.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240714100715.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240731054246.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240818211809.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240803143506.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240824152731.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240820182630.jpg,DIOPSIS-388,0.0,0.0,0.0,0,2,1
